Código,Producto,P. Costo,P. Venta,P. Mayoreo,Existencia,Inv. Mínimo,Inv. Máximo,Departamento
9.00E+12, ABRAZADERA OMEGA 1-1/4 PES/REFORZADA CN 133900125,$3.53,$5.50,$5.00,96,10,100,TORNILLOS
7.51E+12, BRIDA FLEXIMATIC P/WC 3 Y 4 PULGADAS 2577 PLO,$96.92,$134.00,$130.00,3,1,3,PLOMERIA
6.37E+11, VALVULA CHECK 3/4 B&K LATON,$135.00,$185.00,$180.00,2,1,2,PLOMERIA
7.50E+12,7 LLAVES TORX CON SEGURO SANTUL EDISON,$40.01,$65.00,$62.00,2,1,3,HERRAMIENTAS
957,ABRAZADERA OMEGA CROMADA 100 MM 4 PULGADAS PLO,$9.46,$14.00,$13.50,6,3,10,TORNILLOS
958,ABRAZADERA OMEGA CROMADA 75 MM 3 PULGADAS PLO,$8.37,$12.00,$11.50,6,3,10,TORNILLOS
9.00E+11,ABRAZADERA OMEGA LIGERA 1-1/4 BLISTER CN 133900325,$6.35,$9.00,$8.50,5,2,10,TORNILLOS
9.00E+11,ABRAZADERA OMEGA LIGERA 1/2 BLISTER CN 133900310,$3.06,$4.50,$4.00,2,2,10,TORNILLOS
9.00E+11,ABRAZADERA OMEGA LIGERA 2 BLISTER CN 133900335,$11.92,$16.50,$16.00,5,5,10,TORNILLOS
9.00E+11,ABRAZADERA OMEGA LIGERA 3/4 BLISTER CN 133900315,$2.57,$4.00,$3.50,3,2,10,TORNILLOS
904,ABRAZADERA OMEGA PES/REFORZADA 1 1/4 CN,$3.18,$5.00,$4.50,98,50,100,TORNILLOS
844,ABRAZADERA OMEGA PES/REFORZADA 1/2 CN 133900110,$1.27,$2.50,$2.00,484,10,250,TORNILLOS
932,ABRAZADERA OMEGA PES/REFORZADA 2 CN 133900135,$5.04,$9.00,$8.00,200,10,100,TORNILLOS
930,ABRAZADERA OMEGA PES/REFORZADA 3/4 CN 133900115,$1.46,$3.00,$2.50,498,50,250,TORNILLOS
792,ABRAZADERA POLICARBONATO T8 SCCLIT8 ED,$9.42,$14.00,$12.00,25,5,25,ELECTRICIDAD
7.50E+12,ABRAZADERA PPR 1/2 TIPO U FOSET,$1.00,$2.00,$1.50,40,20,40,PLOMERIA
7.50E+12,ABRAZADERA PPR 3/4 TIPO U FOSET,$1.50,$2.50,$2.00,40,20,40,PLOMERIA
825,ABRAZADERA SIN FIN #24 2 A 1 1/4 3089 LIONTOOLS CHOLU,$3.51,$6.00,$5.00,9,2,10,TORNILLOS
826,ABRAZADERA SIN FIN #28 2 A 1 1/2 3090 LIONTOOLS CHOLU,$3.70,$6.00,$5.00,0,2,10,TORNILLOS
7.50E+12,ABRAZADERA SIN FIN #6 1/2-3/4 TRUPER 10031,$15.00,$20.00,$18.00,12,4,12,PLOMERIA
AS06,ABRAZADERA SIN FIN #6 13-19MM 3/4 CN 134000010,$4.77,$7.00,$6.50,98,50,100,TORNILLOS
AS10,ABRAZADERA SIN FIN ACE INOX #10 19-27MM 1-1/16 CN 134000020,$6.35,$9.00,$8.50,89,50,100,TORNILLOS
AS12,ABRAZADERA SIN FIN ACE INOX #12 16-32MM 1-1/4 CN 134000025,$6.50,$9.00,$8.50,97,50,100,TORNILLOS
AS16,ABRAZADERA SIN FIN ACE INOX #16 21-38MM 1-1/2 CN 134000030,$6.73,$10.00,$9.50,93,50,100,TORNILLOS
AS04,ABRAZADERA SIN FIN ACER INOX #4 10-16MM 5/8 CN 134000005,$4.66,$7.00,$6.50,99,50,100,TORNILLOS
AS08,ABRAZADERA SIN FIN ACER INOX #8 16-23MM 7/8 CN 134000015,$5.06,$7.00,$6.50,91,50,100,TORNILLOS
